Name,AttributeDataType,AttributeDefault,AttributeGroup,AttributePurpose,AttributeInheritsPrefs,AttributeReadOnly,AttributeIntrinsic,OriginalVersion,CodeFirstAdded,CodeAltered,PlainLinkCount,TextLinkCount,WebLinkCount,ChangeRefSet,IsInternalOnly,HasUISetting,Text,TextJa
TextColorBlue,color,bright blue,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"Controls the exact colour applied via Format ▸ Style ▸ Blue. \nChanging this attributes does not change text colours previously applied, but affects future applications of this style.",[形式] ▸ [スタイル] ▸ [青] で適用される正確な色を制御します。\nこの属性を変更しても、以前に適用されたテキストの色は変更されませんが、このスタイルの今後の適用に影響します。
TextColorGray,color,warm gray,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"Controls the exact colour applied via Format ▸ Style ▸ Gray. \nChanging this attributes does not change text colours previously applied, but affects future applications of this style.",[形式] ▸ [スタイル] ▸ [グレー] で適用される正確な色を制御します。\nこの属性を変更しても、以前に適用されたテキストの色は変更されませんが、このスタイルの今後の適用に影響します。
TextColorGreen,color,bright green,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"the exact colour applied via Format ▸ Style ▸ Green. \nChanging this attributes does not change text colours previously applied, but affects future applications of this style.",正確な色は、[形式] ▸ [スタイル] ▸ [緑] で適用されます。\nこの属性を変更しても、以前に適用されたテキストの色は変更されませんが、このスタイルの今後の適用に影響します。
TextColorRed,color,bright red,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"the exact colour applied via Format ▸ Style ▸ Red. \nChanging this attributes does not change text colours previously applied, but affects future applications of this style.",正確な色は、[形式] ▸ [スタイル] ▸ [赤] で適用されます。\nこの属性を変更しても、以前に適用されたテキストの色は変更されませんが、このスタイルの今後の適用に影響します。
TextExportTemplate,string,outline,Textual,Text export file configuration,true,,,1.0.0,Baseline,,,,,,,,Deprecated: retained for pre-v6 use only.\nSpecifies the name of the template to be used for text export (as opposed to HTML export).,非推奨: v6 以前の使用のためにのみ保持されます。\n(HTML エクスポートではなく) テキスト エクスポートに使用するテンプレートの名前を指定します。
TextFont,font,MercurySSm-Book,TextFormat,Note text,true,,,1.0.0,Baseline,,,,,,,true,"Default display font for new notes\nThe default value is inherited from Preferences, Text, Font. The default is MercurySSm-Book (at 16pt).\nThis attribute allows a class of notes (e.g. via a prototype) to inherit a specific body text font via a prototype.\n$TextFont is easily overridden simply by selecting a font from the Font palette.\nIMPORTANT: Changes to this attribute affect only those notes with no current $Text. Once anything has been added to $Text, inheritance is broken. Thereafter $Text uses the relevant attribute settings as at the time the text was added; they are effectively 'baked' into the $Text. The only way to 'reset' text with the wrong $TextFont value is to select the text and apply plain text formatting (Style menu). WARNING: setting plain text resets all $Text styling attributes. It is not possible to 'reset' only font but not colour, text size, bolding, etc., as might be otherwise intuited.\n$TextFont is used for any Text set via an action or rule.\nThe $TextFont for the current note—or $Text selection therein, can be set using Format menu ▸ Font menu ▸ Show Fonts and using the OS Fonts palette to select the desired font name/face/size.",新しいメモのデフォルトの表示フォント\nデフォルト値は、「設定」、「テキスト」、「フォント」から継承されます。デフォルトは MercurySSm-Book (16pt) です。\nこの属性により、ノートのクラスが (プロトタイプなどを介して) 特定の本文テキストのフォントをプロトタイプを介して継承できるようになります。\n$TextFont は、フォント パレットからフォントを選択するだけで簡単にオーバーライドできます。\n重要: この属性への変更は、現在の $Text がないノートにのみ影響します。$Text に何かが追加されると、継承は壊れます。その後、$Text はテキストが追加されたときの関連する属性設定を使用します。これらは事実上 $Text に「焼き付け」られます。間違った $TextFont 値でテキストを「リセット」する唯一の方法は、テキストを選択し、プレーン テキストの書式設定 ([スタイル] メニュー) を適用することです。警告: プレーン テキストを設定すると、すべての $Text スタイル属性がリセットされます。直感的にわかるかもしれませんが、フォントのみを「リセット」することはできず、色、テキストサイズ、太字などはリセットできません。\n$TextFont は、アクションまたはルールを介して設定されたテキストに使用されます。\n現在のノートの $TextFont、またはその中の $Text 選択は、[形式] メニュー ▸ [フォント] メニュー ▸ [フォントの表示] を使用して設定し、OS フォント パレットを使用して希望のフォント名/書体/サイズを選択することができます。
TextFontSize,number,16,TextFormat,Note text,true,,,4.0.0,Baseline,,,,,,,true,"Sets the default text font size for new notes.\nThe, in points, value is inherited from Document settings, Text font.\nThis attribute allows a set of notes (e.g. Code Examples or Shopping List) to inherit a specific body text font size via a prototype.\n$TextFontSize is easily overridden simply by selecting a font size from the Font palette.\nIMPORTANT: Changes to this attribute affect only those notes with no current $Text. Once anything has been added to $Text, inheritance is broken. Thereafter $Text uses the relevant attribute settings as at the time the text was added; they are effectively 'baked' into the $Text. The only way to 'reset' text with the wrong $TextFontSize value is to select the text and use menu Format ▸ Style ▸ Standard Size.\nThe $TextFontSize for the current note - or $Text selection therein, can be set using Format menu ▸ Font menu ▸ Show Fonts and using the OS Fonts palette to select the desired font size.",新しいメモのデフォルトのテキストフォントサイズを設定します。\nポイント単位の値は、ドキュメント設定、テキスト フォントから継承されます。\nこの属性により、一連のメモ (コード例やショッピング リストなど) がプロトタイプを介して特定の本文テキストのフォント サイズを継承できるようになります。\n$TextFontSize は、フォント パレットからフォント サイズを選択するだけで簡単にオーバーライドできます。\n重要: この属性への変更は、現在の $Text がないノートにのみ影響します。$Text に何かが追加されると、継承は壊れます。その後、$Text はテキストが追加されたときの関連する属性設定を使用します。これらは事実上 $Text に「焼き付け」られます。間違った $TextFontSize 値でテキストを「リセット」する唯一の方法は、テキストを選択し、メニューの [形式] ▸ [スタイル] ▸ [標準サイズ] を使用することです。\n現在のノートの $TextFontSize またはその中の $Text 選択は、[形式] メニュー ▸ [フォント] メニュー ▸ [フォントの表示] を使用して設定し、OS フォント パレットを使用して希望のフォント サイズを選択します。
TextHighlightBlue,color,#3399FF,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"the colour applied by Format ▸ Style ▸ Highlight ▸ blue highlight.\nChanging this attribute does not change any text highlights previously applied, but only affects future applications of this style.",書式 ▸ スタイル ▸ ハイライト ▸ 青色のハイライトで適用される色。\nこの属性を変更しても、以前に適用されたテキスト ハイライトは変更されませんが、このスタイルの今後の適用にのみ影響します。
TextHighlightGreen,color,#33FF66,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"the colour applied by Format ▸ Style ▸ Highlight ▸ green highlight.\nChanging this attribute does not change any text highlights previously applied, but only affects future applications of this style.",書式 ▸ スタイル ▸ ハイライト ▸ 緑色のハイライトで適用される色。\nこの属性を変更しても、以前に適用されたテキスト ハイライトは変更されませんが、このスタイルの今後の適用にのみ影響します。
TextHighlightMagenta,color,#ff66ff,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"the colour applied by Format ▸ Style ▸ Highlight ▸ magenta highlight.\nChanging this attribute does not change any text highlights previously applied, but only affects future applications of this style.",書式 ▸ スタイル ▸ ハイライト ▸ マゼンタのハイライトで適用される色。\nこの属性を変更しても、以前に適用されたテキスト ハイライトは変更されませんが、このスタイルの今後の適用にのみ影響します。
TextHighlightRed,color,#FF5533,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"This lets you control the colour applied by Format ▸ Style ▸ Highlight ▸ red highlight.\nChanging this attribute does not change any text highlights previously applied, but only affects future applications of this style.",これにより、[形式] ▸ [スタイル] ▸ [ハイライト] ▸ [赤色のハイライト] で適用される色を制御できます。\nこの属性を変更しても、以前に適用されたテキスト ハイライトは変更されませんが、このスタイルの今後の適用にのみ影響します。
TextHighlightYellow,color,#ffff00,TextFormat,Note text,,,,9.1.0,Baseline,,,,,,,,"This lets you control the colour applied by Format ▸ Style ▸ Highlight ▸ yellow highlight.\nChanging this attribute does not change any text highlights previously applied, but only affects future applications of this style.",これにより、[形式] ▸ [スタイル] ▸ [ハイライト] ▸ [黄色のハイライト] で適用される色を制御できます。\nこの属性を変更しても、以前に適用されたテキスト ハイライトは変更されませんが、このスタイルの今後の適用にのみ影響します。
TextLength,number,(not set - 0),Textual,Calculated data,,true,,1.0.0,Baseline,,,,,,,,The number of characters (character count) of the current note (read-only).\nSee also $WordCount for a count of discrete words in the note's text.\nMore detail on how character counts are made.,現在のメモの文字数 (文字カウント) (読み取り専用)。\nメモのテキスト内の個別の単語の数については、$WordCount も参照してください。\n文字カウントの方法について詳しく説明します。
TextLinkCount,number,(calculated),General,Calculated data,,true,true,5.12.1,Baseline,,,,,,,,"Holds the number of outbound text links (i.e. within $Text).\nThe value is (internal) text links plus (external) web links. Thus if you need the count of only text-type links, use an expression like $TextInternalLinkCount = $TextLinkCount-$WebLinkCount. Thus, if a note has two text links and one web link, the note's $TextLinkCount value would be 3 but user attribute $TextInternalLinkCount would have a value of 2.\nAlso see $PlainLinkCount, $WebLinkCount, $OutboundLinkCount.",送信テキスト リンク (つまり、$Text 内) の数を保持します。\n値は、(内部) テキスト リンクと (外部) Web リンクです。したがって、テキスト タイプのリンクのみの数が必要な場合は、$TextInternalLinkCount = $TextLinkCount-$WebLinkCount のような式を使用します。したがって、メモに 2 つのテキスト リンクと 1 つの Web リンクがある場合、メモの $TextLinkCount 値は 3 になりますが、ユーザー属性 $TextInternalLinkCount の値は 2 になります。\n$PlainLinkCount、$WebLinkCount、$OutboundLinkCount も参照してください。
TextPaneRatio,number,0.5,TextFormat,General data,,,,6.0.0,Baseline,,,,,,,,"Deprecated: unused retained for v6 use only.\nCustom ratio of view pane to text pane for the current note.\nDefault value is 0.5, i.e. 50% split. Value range is 0-100.\nIf a custom $TextPaneWidth is set, the latter overrides this setting.\nCurrently, the splitter pane location is stored in the per-tab XML metadata of the document window, and is not exposed via an attribute.",非推奨: 未使用は v6 でのみ使用されます。\n現在のノートのビュー ペインとテキスト ペインのカスタム比率。\nデフォルト値は 0.5、つまり 50% 分割です。値の範囲は 0 ～ 100 です。\nカスタム $TextPaneWidth が設定されている場合、後者がこの設定をオーバーライドします。\n現在、分割ペインの位置はドキュメント ウィンドウのタブごとの XML メタデータに保存されており、属性を通じて公開されません。
TextPaneWidth,number,-1,TextFormat,General data,,,,6.0.0,Baseline,,,,,,,,"Deprecated: unused retained for v6 use only.\nStores a custom width for the note's text pane.\nA value of -1 leaves the text pane unmoved, and inheriting the split set/inherited via $TextPaneRatio. Dragging the document window's vertical splitter pane automatically sets $TextPaneWidth.\nThe splitter pane location is stored in the per-tab XML metadata of the document window, and is not exposed via an attribute.",非推奨: 未使用は v6 でのみ使用されます。\nメモのテキスト ペインのカスタム幅を保存します。\n値が -1 の場合、テキスト ペインは移動されず、$TextPaneRatio を介して設定/継承された分割が継承されます。ドキュメント ウィンドウの垂直分割ペインをドラッグすると、$TextPaneWidth が自動的に設定されます。\n分割ペインの位置は、ドキュメント ウィンドウのタブごとの XML メタデータに保存され、属性を通じて公開されません。
TextSidebar,boolean,true,TextFormat,Note text,true,,,3.5.0,Baseline,,,,,,,,"Deprecated: retained for pre-v6 use only.\nStores the pre-v6 display state (shown/hidden) of a note's text window sidebar. In the current application, the old sidebar is replaced by the displayed attributes table, and this attribute's feature is replaced by $HideDisplayedAttributes.",非推奨: v6 以前の使用のためにのみ保持されます。\nノートのテキスト ウィンドウ サイドバーの v6 より前の表示状態 (表示/非表示) を保存します。現在のアプリケーションでは、古いサイドバーは表示される属性テーブルに置き換えられ、この属性の機能は $HideDisplayedAttributes に置き換えられます。
TextWindowHeight,number,250,TextFormat,Note window configuration,,,,7.5.0,Baseline,,,,,,,,"Last-used height of note's stand-alone window.\nResizing the note's text window automatically sets this attribute, so that the text window for each note remembers its last-used height. The new value is saved when the window is closed or document is closed with the text window still open.",最後に使用されたメモのスタンドアロン ウィンドウの高さ。\nノートのテキスト ウィンドウのサイズを変更すると、この属性が自動的に設定されるため、各ノートのテキスト ウィンドウは最後に使用した高さを記憶します。新しい値は、ウィンドウを閉じるか、テキスト ウィンドウを開いたままドキュメントを閉じると保存されます。
TextWindowWidth,number,475,TextFormat,Note window configuration,,,,7.5.0,Baseline,,,,,,,,"Last-used width of note's stand-alone window.\nResizing the note's text window automatically sets this attribute, so that the text window for each note remembers its last-used width. The new value is saved when the window is closed or document is closed with the text window still open.",メモのスタンドアロン ウィンドウの最後に使用された幅。\nノートのテキスト ウィンドウのサイズを変更すると、この属性が自動的に設定されるため、各ノートのテキスト ウィンドウは最後に使用した幅を記憶します。新しい値は、ウィンドウを閉じるか、テキスト ウィンドウを開いたままドキュメントを閉じると保存されます。
TimelineAliases,boolean,true,Events,Timeline configuration,,,,6.0.0,Baseline,,,,,,,true,"Control plotting of in-scope aliases in the timeline.\nDefault is true, in which case in-scope aliases are included in the timeline.\n$TimelineAliases for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Alaises' tick-box.",タイムライン内のスコープ内のエイリアスのプロットを制御します。\nデフォルトは true で、この場合、スコープ内のエイリアスがタイムラインに含まれます。\n現在のタイムライン (タブ) ビューの $TimelineAliases は、タイムライン設定ポップオーバーの「Alaises」チェックボックスを使用して設定できます。
TimelineBand,number,0,Events,Timeline event configuration,,,true,5.6.0,Baseline,,,,,,,,"Assigns an event to a specific vertical band in Timeline view.\nBy default all events are in band 0, but can be set to another band by drag-drop or via action code.\nAlthough the attribute accepts any number, the valid range is whole numbers 0–1300. 1300 is not a hard limit and that many bands should not be needed, but above that number timeline band labels are clipped or not drawn at all.\nThis attribute is intrinsic for aliases, allowing aliases to be paced in a different timeline band to their original.",タイムライン ビューの特定の垂直バンドにイベントを割り当てます。\nデフォルトでは、すべてのイベントはバンド 0 にありますが、ドラッグ アンド ドロップまたはアクション コードによって別のバンドに設定できます。\nこの属性は任意の数値を受け入れますが、有効な範囲は 0 ～ 1300 の整数です。1300 は厳密な制限ではなく、多くのバンドは必要ありませんが、その数を超えるとタイムライン バンド ラベルがクリップされるか、まったく描画されなくなります。\nこの属性はエイリアスに固有であり、エイリアスを元のタイムライン バンドとは異なるタイムライン バンドに配置できるようになります。
TimelineBandLabelColor,color,black,Events,Timeline configuration,,,,5.10.1,Baseline,,,,,,,true,"Holds the colour used to draw band labels in a timeline.\nWhen set locally it applies to the current container's Timeline view.\n$TimelineBandLabelColor for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Label Color' colour controls.",タイムラインでバンド ラベルを描画するために使用される色を保持します。\nローカルに設定すると、現在のコンテナのタイムライン ビューに適用されます。\n現在のタイムライン (タブ) ビューの $TimelineBandLabelColor は、タイムライン設定ポップオーバーの「ラベル カラー」カラー コントロールを介して設定できます。
TimelineBandLabelOpacity,number,0.25,Events,Timeline configuration,,,,5.10.1,Baseline,,,,,,,true,"Stores an opacity value for drawing band labels in the current container's Timeline view.\nThe allowed range of values is 0–1. Prior to v9.7.0, the range was 0–100 but this was changed—see more.\n$Timeline for the current timeline (tab) view can be set via the Timeline Settings pop-over, '' control.",現在のコンテナのタイムライン ビューでバンド ラベルを描画するための不透明度の値を保存します。\n値の許容範囲は 0 ～ 1 です。v9.7.0 より前では、範囲は 0 ～ 100 でしたが、これは変更されました。詳細を参照してください。\n現在のタイムライン (タブ) ビューの $Timeline は、タイムライン設定ポップオーバー '' コントロールを介して設定できます。
TimelineBandLabels,list,(not set - empty string),Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,true,"Holds the assigned labels for different Timeline view bands and is a semicolon-delimited string. \nFor example, the string ""Paris;London;Madrid"" would label three bands, ""Paris"", ""London"", and ""Madrid"". Labels are drawn onto the timeline in the order stored; in the example band number 0 will be labelled ""Paris"".\n$TimelineBandLabels for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Labels' input box.",さまざまなタイムライン ビュー バンドに割り当てられたラベルを保持し、セミコロンで区切られた文字列です。\nたとえば、文字列「Paris;London;Madrid」は、「Paris」、「London」、「Madrid」という 3 つのバンドにラベルを付けます。ラベルは保存された順序でタイムライン上に描画されます。この例では、バンド番号 0 には「Paris」というラベルが付けられます。\n現在のタイムライン (タブ) ビューの $TimelineBandLabels は、タイムライン設定ポップオーバーの「ラベル」入力ボックスを介して設定できます。
TimelineColor,color,lighter warm gray,Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,true,"Used to colour every other (even-numbered) timeline band within a Timeline view.\nA desaturated tint of the colour, rather than the exact colour name/value specified, is used to avoid undue contrast.\n$TimelineColor for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Band Color' colour controls.",タイムライン ビュー内の 1 つおきの (偶数の) タイムライン バンドに色を付けるために使用されます。\n過度のコントラストを避けるために、指定された正確な色の名前/値ではなく、彩度の低い色の色合いが使用されます。\n現在のタイムライン (タブ) ビューの $TimelineColor は、タイムライン設定ポップオーバーの「バンド カラー」カラー コントロールを介して設定できます。
TimelineDescendants,boolean,true,Events,Timeline configuration,,,,6.0.0,Baseline,,,,,,,true,"Control scope to direct children in the timeline.\nDefault is true, which results in all descendants being plotted.\n$TimelineDescendants for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Descendants' tick-box.",タイムライン内の子を導くためのスコープを制御します。\nデフォルトは true で、すべての子孫がプロットされます。\n現在のタイムライン (タブ) ビューの $TimelineDescendants は、タイムライン設定ポップオーバーの「子孫」チェックボックスを使用して設定できます。
TimelineDrawLinks,boolean,true,Events,Timeline configuration,,,,10.0.2,Baseline,,,,,,,,This enables or disables link drawing in timelines.\nWhen true (the default) links are drawn within the timeline view. The default maintains the previous status quo.,これにより、タイムラインでのリンク描画が有効または無効になります。\ntrue (デフォルト) の場合、タイムライン ビュー内にリンクが描画されます。デフォルトでは以前の現状が維持されます。
TimelineEnd,date,(not set - never),Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,true,"Optional end date for container's Timeline.\nNotes with a $EndDate later than this are listed in the ""Out of Range"" section of the view. By default, this attribute is not set.\nThe setting works at container level, thus different containers can have different plotted date ranges.\n$Timeline for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'End' date input box.",コンテナのタイムラインの終了日 (オプション)。\n$EndDate がこれより後のメモは、ビューの「範囲外」セクションにリストされます。デフォルトでは、この属性は設定されていません。\nこの設定はコンテナー レベルで機能するため、コンテナーごとに異なるプロットされた日付範囲を持つことができます。\n現在のタイムライン (タブ) ビューの $Timeline は、タイムライン設定ポップオーバーの「終了」日付入力ボックスを介して設定できます。
TimelineEndAttribute,string,(not set - empty string),Events,Timeline configuration,,,,6.0.0,Baseline,,,,,,,true,"Alternative Date-type attribute of Timeline's event $EndDate.\nUse the attribute name, without a $-prefix.\n$TimelineEndAttribute for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Attributes: End' pop-up control.",タイムラインのイベント $EndDate の代替日付型属性。\n$-接頭辞を付けずに属性名を使用します。\n現在のタイムライン (タブ) ビューの $TimelineEndAttribute は、タイムライン設定ポップオーバーの「属性: 終了」ポップアップ コントロールを介して設定できます。
TimelineGridColor,color,#009090,Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,,Colour of timeline vertical guidelines for selected note in Timeline view.,タイムライン ビューで選択したノートのタイムラインの垂直ガイドラインの色。
TimelineMarker,boolean,false,Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,,"Draw persistent note vertical markers in Timeline view.\nControls whether marker lines, in a tint of $AccentColor, are drawn from events to the Timeline view's scale persist when a note is not currently selected.\nThe marker lines are drawn from the left edge of events. The default is false, with lines only shown for selected items.",タイムライン ビューで永続的なメモの垂直マーカーを描画します。\nノートが現在選択されていないときに、イベントからタイムライン ビューのスケールまでマーカー ラインを $AccentColor の色合いで描画するかどうかを制御します。\nマーカー線はイベントの左端から描画されます。デフォルトは false で、選択した項目に対してのみ線が表示されます。
TimelineScaleColor,color,cool gray,Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,true,"Primary colour in the gradient used for time scale of Timeline view.\nThe default is 'cool gray'. The scale uses a gradient to fade to $TimelineScaleColor2.\n$TimelineScaleColor for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Scale Color' colour controls.",タイムライン ビューのタイム スケールに使用されるグラデーションの主色。\nデフォルトは「クールグレー」です。スケールはグラデーションを使用して $TimelineScaleColor2 にフェードします。\n現在のタイムライン (タブ) ビューの $TimelineScaleColor は、タイムライン設定ポップオーバーの「スケール カラー」カラー コントロールを介して設定できます。
TimelineScaleColor2,color,inherits from $MapBackgroundAccentColor,Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,,Primary colour in the gradient used for time scale of Timeline view.\nThe default is inherited from the note's $MapBackgroundAccentColor (which is in turn inherited from the Map Preference for background colour) which results in 'gray'. The scale uses a gradient to fade from $TimelineScaleColor. The default means the top edge of the scale bar is the same as the background of the main content portion of the map.,タイムライン ビューのタイム スケールに使用されるグラデーションの主色。\nデフォルトはノートの $MapBackgroundAccentColor (背景色の Map Preference から継承) から継承され、結果は「グレー」になります。スケールは、$TimelineScaleColor からフェードするグラデーションを使用します。デフォルトは、スケール バーの上端がマップのメイン コンテンツ部分の背景と同じであることを意味します。
TimelineStart,date,(not set - never),Events,Timeline configuration,,,,5.6.0,Baseline,,,,,,,true,"Optional start date for container's Timeline.\nNotes with a $StartDate earlier than this are listed in the ""out of Range"" section of the view.\nBy default, this attribute is not set.\nThe setting works at container level, thus different containers can have different plotted date ranges.\n$TimelineStart for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Start' date input box.",コンテナのタイムラインの開始日 (オプション)。\n$StartDate がこれより前のメモは、ビューの「範囲外」セクションにリストされます。\nデフォルトでは、この属性は設定されていません。\nこの設定はコンテナー レベルで機能するため、コンテナーごとに異なるプロットされた日付範囲を持つことができます。\n現在のタイムライン (タブ) ビューの $TimelineStart は、タイムライン設定ポップオーバーの「開始」日付入力ボックスを介して設定できます。
TimelineStartAttribute,string,(not set - empty string),Events,Timeline configuration,,,,6.0.0,Baseline,,,,,,,true,"Alternative Date-type attribute of Timeline's event $StartDate.\nUse the attribute name, without a $-prefix.\n$TimelineStartAttribute for the current timeline (tab) view can be set via the Timeline Settings pop-over, 'Attributes: Start' pop-up control.",タイムラインのイベント $StartDate の代替日付型属性。\n$-プレフィックスを付けずに属性名を使用します。\n現在のタイムライン (タブ) ビューの $TimelineStartAttribute は、タイムライン設定ポップオーバーの「属性: 開始」ポップアップ コントロールを介して設定できます。
Tip,number,0.5,Map,Map item general configuration,,,,6.0.0,Baseline,,,,,,,true,"Controls the shape of arrow and leaf shapes.\nThe valid range is 0–1.\nReplaces the deprecated $LeafTip.\nFor notes whose $Shape employs this setting, the $Tip value for the selected note can be altered using the grey dot control to the bottom of the note, in an up-down direction.",矢印と葉の形状を制御します。\n有効な範囲は 0 ～ 1 です。\n非推奨の $LeafTip を置き換えます。\n$Shape がこの設定を採用しているノートの場合、選択したノートの $Tip 値は、ノートの下部にある灰色のドット コントロールを使用して上下方向に変更できます。
TitleBackgroundColor,color,#000000,TextFormat,Note title,true,,,1.0.0,Baseline,,,,,,,,Deprecated: retained for pre-v6 use only.\nSpecifies the background colour for the title pane in text windows (not used in v6+).,非推奨: v6 以前の使用のためにのみ保持されます。\nテキスト ウィンドウのタイトル ペインの背景色を指定します (v6 以降では使用されません)。
TitleFont,font,LucidaGrande,TextFormat,Note title,true,,,1.0.0,Baseline,,,,,,,,Deprecated: retained for pre-v6 use only.\nSpecifies the name of the font used for displaying the current note's title in the title pane of the note's text window (ignored in v6+).,非推奨: v6 以前の使用のためにのみ保持されます。\nノートのテキスト ウィンドウのタイトル ペインに現在のノートのタイトルを表示するために使用されるフォントの名前を指定します (v6 以降では無視されます)。
TitleForegroundColor,color,#ffffff,TextFormat,Note title,true,,,1.0.0,Baseline,,,,,,,,Deprecated: retained for pre-v6 use only.\nSpecifies the foreground colour for the title pane in text windows (not used in v6+).,非推奨: v6 以前の使用のためにのみ保持されます。\nテキスト ウィンドウのタイトル ペインの前景色を指定します (v6 以降では使用されません)。
TitleHeight,number,0,Map,Map item text configuration,,,,4.5.0,Baseline,,,,,,,,"Sets height of the title bar in a map container/agent map icon, in map units.\n$TitleHeight is only used by agents and container notes and ignored by other objects. It is expressed in relative map units, as for $Height and $Width.\nFor a (selected) container, a note or agent, a splitter resize mouse icon is shown when the mouse is over the boundary of the title area and the map viewport; click and drag (hand icon) the mouse up or down to alter the height of the title area.\nThe default value of 0 (or a set value of 0) allows the icon to use Tinderbox's normal auto-resizing where the title area grows as the overall icon area does.\nIf $TitleHeight is set to other than zero, then resizing the overall size of the container has no effect on the height of the title area.\nTo 'hide' the viewport area of a container, set the $TitleHeight to equal $Height. This makes the map icon look like a normal note except the two bottom corners (note) or top corners (agent) are rounded. While the viewport is hidden, it is not possible to double-click drill down but its shortcut (Cmd+Opt+Return) will work.",マップ コンテナ/エージェント マップ アイコンのタイトル バーの高さをマップ単位で設定します。\n$TitleHeight は、エージェントとコンテナ ノートによってのみ使用され、他のオブジェクトによって無視されます。$Height や $Width と同様に、相対マップ単位で表されます。\n(選択した) コンテナ、メモ、またはエージェントの場合、マウスがタイトル領域とマップ ビューポートの境界上にあると、スプリッタのサイズ変更マウス アイコンが表示されます。タイトル領域の高さを変更するには、マウスをクリックして (手のアイコン) を上下にドラッグします。\nデフォルト値の 0 (または設定値 0) では、アイコンは Tinderbox の通常の自動サイズ変更を使用でき、アイコン全体の領域と同じようにタイトル領域も拡大されます。\n$TitleHeight が 0 以外に設定されている場合、コンテナ全体のサイズを変更してもタイトル領域の高さには影響しません。\nコンテナのビューポート領域を「非表示」にするには、$TitleHeight を $Height と同じに設定します。これにより、マップ アイコンは、下の 2 つの角 (ノート) または上の 2 つの角 (エージェント) が丸くなっている点を除き、通常のノートのように見えます。ビューポートが非表示になっている間は、ダブルクリックしてドリルダウンすることはできませんが、ショートカット (Cmd+Opt+Return) は機能します。
TitleOpacity,number,1,Map,Map item text configuration,,,,5.10.0,Baseline,,,,,,,,"Deprecated: controls the opacity used when drawing the $Name onto a map icon.\nThe default is 1, totally opaque. \nThe allowed range of values is 0–1. Prior to v9.7.0, the range was 0–100 but this was changed—see more.\n$TitleOpacity is now deprecated in favour of $NameOpacity.\nBoth $TitleOpacity and $SubtitleOpacity are independent of $Opacity. However, the if higher than the value of $Opacity, the latter value is used when drawing the note.",非推奨: $Name を地図アイコン上に描画するときに使用される不透明度を制御します。\nデフォルトは 1 で、完全に不透明です。\n値の許容範囲は 0 ～ 1 です。v9.7.0 より前では、範囲は 0 ～ 100 でしたが、これは変更されました。詳細を参照してください。\n$TitleOpacity は現在非推奨となり、$NameOpacity が優先されます。\n$TitleOpacity と $SubtitleOpacity はどちらも $Opacity から独立しています。ただし、$Opacity の値より大きい場合は、注記を描画するときに後者の値が使用されます。
Tot,set,(not set - empty string),Watch,Data synch,,,,8.6.0,Baseline,,,,,,,,A Set indicating which Tot notes are watched.\nThe default value is an empty string.,どの Tot ノートが監視されているかを示す Set。\nデフォルト値は空の文字列です。
Twitter,string,(not set - empty string),People,Person detail,,,,5.0.0,Baseline,,,,,,,,Holds a person's Twitter account name.,個人の Twitter アカウント名を保持します。
